OBJECTID,Join_Count,TARGET_FID,BUSHALTEST,LINK_STW,DATUM,HST_ID,GKZ,Ort,Haltestelle,RegStopNo,GID,Typ,Y,X,ID_EFA,x2,y2
140,1,140,"Litzelstetten/Zum Purren, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6572.htm,6/17/2011 12:00:00 AM,6572,8335043,Litzelstetten,Litzelstetten Purren,35233,11873,|- Steig,47.71526423,9.17205956,8711873,512912.4835,5284661.6725
141,1,141,Marktstätte,http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6586.htm,6/17/2011 12:00:00 AM,6586,8335043,Konstanz,Konstanz Marktstätte/BHF Richtung CH,35239,11882,|- Steig,47.65965998,9.17703623,8711882,513290.7364,5278499.3958
142,1,143,"Riedstraße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6845.htm,6/17/2011 12:00:00 AM,6845,8335043,Konstanz,Konstanz Riedstraße,35249,11896,Haltestelle,47.6844307,9.14740081,8711896,511064.0431,5281235.1097
143,1,144,"Rosenau, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6741.htm,6/17/2011 12:00:00 AM,6741,8335043,Konstanz,Konstanz Rosenau,35250,11897,Haltestelle,47.66702286,9.19882936,8711897,514922.4828,5279310.2454
144,1,145,"Sternenplatz/Spanierstraße, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6733.htm,6/17/2011 12:00:00 AM,6733,8335043,Konstanz,Konstanz Sternenpl./Spanierstr.,35269,11920,Haltestelle,47.66743423,9.17888676,8711920,513422.8069,5279347.3893
145,1,146,"Zähringerplatz, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6896.htm,6/17/2011 12:00:00 AM,6896,8335043,Konstanz,Konstanz Zähringerplatz,35284,11935,|- Steig,47.67246116,9.18370173,8711935,513790.2375,5279894.1969
146,1,147,"Bücklestraße, Richtung Fähre Staad",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6894.htm,6/17/2011 12:00:00 AM,6894,8335043,Konstanz,Konstanz Bücklestraße,35190,11822,|- Steig,47.67578799,9.17187092,8711822,512891.9858,5280246.2291
147,1,148,"Dettingen/Kinderspielplatz, nach Wallhausen",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6554.htm,6/17/2011 12:00:00 AM,6554,8335043,Dettingen (Konstanz),Dettingen (KN) Kinderspielplatz,34555,2153,|- Steig,47.7322572,9.1181337,8702153,508866.4368,5286543.3527
148,1,149,"Dingelsdorf/Wallhauser Straße, nach Wallhausen",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6576.htm,6/17/2011 12:00:00 AM,6576,8335043,Dingelsdorf,Dingelsdorf Wallhauser Straße,35201,11834,Haltestelle,47.74057642,9.15191933,8711834,511392.1871,5287479.6224
149,1,150,"Dingelsdorf-Ortsmitte, nach Oberdorf", ,3/13/2020 12:00:00 AM,6561,8335043,Dingelsdorf,Dingelsdorf Ortsmitte,35200,11833,|- Steig,47.7387399,9.15589887,8711833,511686.8732,5287277.3526
150,1,151,"Dingelsdorf-Ortsmitte, nach Dettingen", ,3/13/2020 12:00:00 AM,6560,8335043,Dingelsdorf,Dingelsdorf Ortsmitte,35200,11833,|- Steig,47.73881239,9.1559887,8711833,511697.6017,5287276.5851
151,1,152,"Hieronymusgasse, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6581.htm,6/17/2011 12:00:00 AM,6581,8335043,Konstanz,Konstanz Hieronymusgasse,34853,2827,|- Steig,47.66024082,9.17152956,8702827,512882.5747,5278557.0462
152,1,153,"Rudolf-Diesel-Straße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6833.htm,6/17/2011 12:00:00 AM,6833,8335043,Konstanz,Konstanz Rudolf-Diesel-Straße,35251,11898,|- Steig,47.67430607,9.15151509,8711898,511378.4074,5280118.5073
153,1,154,"Ebertplatz, stadtauswärts", ,3/12/2020 12:00:00 AM,6820,8335043,Konstanz,Konstanz Ebertplatz,35322,64350,|- Steig,47.67051336,9.17488027,8764350,513144.2542,5279682.1357
154,1,155,"Ebertplatz, Richtung Innenstadt", ,3/12/2020 12:00:00 AM,6821,8335043,Konstanz,Konstanz Ebertplatz,35322,64350,Haltestelle,47.67050731,9.17487129,8764350,513123.1832,5279683.04
155,1,156,"Wallhausen-Birnaublick, Richtung Dingelsdorf",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6717.htm,6/17/2011 12:00:00 AM,6717,8335043,Wallhausen/Konstanz,Wallhausen Birnaublick,35277,11928,|- Steig,47.7471064,9.12919196,8711928,509685.4853,5288195.9607
156,1,157,"Universität / Egg, Richtung Mainau-Litzelstetten",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6719.htm,6/17/2011 12:00:00 AM,6719,8335043,Egg (Konstanz),Egg Egg/Universität,35159,10200,|- Steig,47.69174775,9.19025943,8710200,514284.6798,5282056.5062
157,1,158,"Universität/ Egg, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6719.htm,6/17/2011 12:00:00 AM,6719,8335043,Egg (Konstanz),Egg Egg/Universität,35159,10200,|- Steig,47.6908105,9.19153504,8710200,514368.7007,5281952.513
158,1,159,"Herosestraße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6875.htm,6/17/2011 12:00:00 AM,6875,8335043,Konstanz,Konstanz Herosestraße,35223,11859,|- Steig,47.68414646,9.15641989,8711859,511743.5209,5281213.9162
159,1,160,"Radolfzeller Straße, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6861.htm,6/17/2011 12:00:00 AM,6861,8335043,Wollmatingen,Wollmatingen Radolfzeller Str.,35283,11934,|- Steig,47.69428732,9.14181329,8711934,510715.8367,5282291.0691
160,1,161,"Opelstraße, stadtauswärts / Richtung Wollmattingen",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6838.htm,6/17/2011 12:00:00 AM,6838,8335043,Konstanz,Konstanz Opelstraße,35243,11887,Haltestelle,47.67705213,9.15413817,8711887,511564.9266,5280422.8592
161,1,162,"Opelstraße, Richtung Fähre/Staad",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6837.htm,6/17/2011 12:00:00 AM,6837,8335043,Konstanz,Konstanz Opelstraße,35243,11887,|- Steig,47.67706422,9.15420105,8711887,511574.4574,5280415.0232
162,1,163,Schweizer Bahnhof,http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6972.htm,6/17/2011 12:00:00 AM,6972,8335043,Konstanz,Konstanz Schweizer Bahnhof,35289,11949,|- Steig,47.65835307,9.17679368,8711949,513275.2583,5278319.455
163,1,164,"Lutherplatz, Richtung Bahnhof",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6783.htm,6/17/2011 12:00:00 AM,6783,8335043,Konstanz,Konstanz Lutherplatz,35236,11877,|- Steig,47.66173524,9.17077497,8711877,512824.2199,5278723.8054
164,1,165,"Litzelstetter Straße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6863.htm,6/17/2011 12:00:00 AM,6863,8335043,Wollmatingen,Wollmat. Litzelst.-Str./Kirche,35327,72067,|- Steig,47.69365849,9.15167679,8772067,511378.959,5282258.8497
165,1,166,"Litzelstetter Straße, Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6862.htm,6/17/2011 12:00:00 AM,6862,8335043,Wollmatingen,Wollmat. Litzelst.-Str./Kirche,35327,72067,Haltestelle,47.69353151,9.15146119,8772067,511361.4479,5282250.9605
166,1,167,"Laube / Niederburg, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6584.htm,6/17/2011 12:00:00 AM,6584,8335043,Konstanz,Konstanz Laube/Niederburg,35275,11926,|- Steig,47.66532894,9.17407179,8711926,513070.851,5279110.969
167,1,168,"Bürgerbüro, Richtung Bahnhof",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6582.htm,6/17/2011 12:00:00 AM,6582,8335043,Konstanz,Konstanz Bürgerbüro,35257,11904,Haltestelle,47.66242496,9.17239194,8711904,512944.5031,5278801.1523
168,1,169,"Breslauer Straße (Ost), stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6871.htm,6/17/2011 12:00:00 AM,6871,8335043,Konstanz,Konstanz Breslauer Straße Ost,35187,11819,|- Steig,47.68476936,9.152099,8711819,511423.516,5281274.1983
