label,percent,agency
cancelled,1.27%,db regionetz verkehrs gmbh kurhessenbahn
substituted,0.177%,db regionetz verkehrs gmbh südostbayernbahn
-5–,,db regionetz verkehrs gmbh südostbayernbahn
-4–,,db regionetz verkehrs gmbh südostbayernbahn
-3–,,db regionetz verkehrs gmbh südostbayernbahn
-2–,,db regionetz verkehrs gmbh südostbayernbahn
-1–,,db regionetz verkehrs gmbh südostbayernbahn
0–,50.2%,db regionetz verkehrs gmbh südostbayernbahn
1–,21.8%,db regionetz verkehrs gmbh südostbayernbahn
2–,8.16%,db regionetz verkehrs gmbh südostbayernbahn
3–,4.43%,db regionetz verkehrs gmbh südostbayernbahn
4–,2.66%,db regionetz verkehrs gmbh südostbayernbahn
5–,3.90%,db regionetz verkehrs gmbh südostbayernbahn
6–,0.709%,db regionetz verkehrs gmbh südostbayernbahn
7–,1.42%,db regionetz verkehrs gmbh südostbayernbahn
8–,1.06%,db regionetz verkehrs gmbh südostbayernbahn
9–,0.709%,db regionetz verkehrs gmbh südostbayernbahn
10–,1.42%,db regionetz verkehrs gmbh südostbayernbahn
11–,1.06%,db regionetz verkehrs gmbh südostbayernbahn
16–,0.177%,db regionetz verkehrs gmbh südostbayernbahn
21–,,db regionetz verkehrs gmbh südostbayernbahn
26–,,db regionetz verkehrs gmbh südostbayernbahn
31–,,db regionetz verkehrs gmbh südostbayernbahn
46–,,db regionetz verkehrs gmbh südostbayernbahn
61–,,db regionetz verkehrs gmbh südostbayernbahn
76–,,db regionetz verkehrs gmbh südostbayernbahn
91–,,db regionetz verkehrs gmbh südostbayernbahn
cancelled,2.13%,db regionetz verkehrs gmbh südostbayernbahn
substituted,,db regionetz verkehrs gmbh westfrankenbahn
-5–,,db regionetz verkehrs gmbh westfrankenbahn
-4–,,db regionetz verkehrs gmbh westfrankenbahn
-3–,,db regionetz verkehrs gmbh westfrankenbahn
-2–,,db regionetz verkehrs gmbh westfrankenbahn
-1–,,db regionetz verkehrs gmbh westfrankenbahn
0–,66.7%,db regionetz verkehrs gmbh westfrankenbahn
1–,15.9%,db regionetz verkehrs gmbh westfrankenbahn
2–,9.42%,db regionetz verkehrs gmbh westfrankenbahn
3–,3.62%,db regionetz verkehrs gmbh westfrankenbahn
4–,1.45%,db regionetz verkehrs gmbh westfrankenbahn
5–,1.45%,db regionetz verkehrs gmbh westfrankenbahn
6–,0.725%,db regionetz verkehrs gmbh westfrankenbahn
7–,,db regionetz verkehrs gmbh westfrankenbahn
8–,,db regionetz verkehrs gmbh westfrankenbahn
9–,,db regionetz verkehrs gmbh westfrankenbahn
10–,,db regionetz verkehrs gmbh westfrankenbahn
11–,,db regionetz verkehrs gmbh westfrankenbahn
16–,,db regionetz verkehrs gmbh westfrankenbahn
21–,,db regionetz verkehrs gmbh westfrankenbahn
26–,,db regionetz verkehrs gmbh westfrankenbahn
31–,,db regionetz verkehrs gmbh westfrankenbahn
46–,,db regionetz verkehrs gmbh westfrankenbahn
61–,,db regionetz verkehrs gmbh westfrankenbahn
76–,,db regionetz verkehrs gmbh westfrankenbahn
91–,,db regionetz verkehrs gmbh westfrankenbahn
cancelled,0.725%,db regionetz verkehrs gmbh westfrankenbahn
substituted,,enno
-5–,,enno
-4–,,enno
-3–,,enno
-2–,,enno
-1–,,enno
0–,69.1%,enno
1–,11.5%,enno
2–,5.99%,enno
3–,0.922%,enno
4–,3.23%,enno
5–,0.461%,enno
6–,1.84%,enno
7–,1.38%,enno
8–,,enno
9–,,enno
10–,,enno
11–,1.84%,enno
16–,1.38%,enno
21–,,enno
26–,0.461%,enno
31–,,enno
