STRUCTURE,STRUCTURE_ID,freq,unit,indic_il,deg_urb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,SI,2022,16544,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,SK,2021,9616,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,Y_GE18,SK,2022,9988,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,AT,2021,27725,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,AT,2022,28077,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,BE,2021,27008,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,BE,2022,28249,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,BG,2021,5085,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,BG,2022,5176,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,CH,2021,44620,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,CY,2021,15456,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,CY,2022,16468,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,CZ,2021,10151,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,CZ,2022,11860,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,DE,2021,25305,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,DE,2022,25091,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,DK,2021,32581,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,DK,2022,33684,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EA,2021,21028,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EA19,2021,21028,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EA20,2021,20900,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EA20,2022,21426,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EE,2021,12053,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EE,2022,14354,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EL,2021,9098,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EL,2022,9760,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,ES,2021,14641,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,ES,2022,15879,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EU27_2020,2021,19005,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,EU27_2020,2022,19654,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,FI,2021,25388,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,FI,2022,26075,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,FR,2021,22683,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,FR,2022,22626,b
