STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE,2022,80.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE1,2021,81.6,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE1,2022,82.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE11,2021,81.6,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE11,2022,82.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE12,2021,80.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE12,2022,81.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE13,2021,82.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE13,2022,83.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE14,2021,82.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE14,2022,84.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE2,2021,82.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE2,2022,83.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE21,2021,82.6,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE21,2022,84.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE22,2021,83.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE22,2022,84.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE23,2021,82.4,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE23,2022,83.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE24,2021,82.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE24,2022,82.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE25,2021,80.6,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE25,2022,81.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE26,2021,83.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE26,2022,82.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE27,2021,82.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE27,2022,84.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE3,2021,76.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE3,2022,79.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE30,2021,76.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE30,2022,79.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE4,2021,82.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE4,2022,82.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE40,2021,82.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE40,2022,82.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE5,2021,73.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE5,2022,74.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,DE50,2021,73.1,b
