age,nuts2,employment_rate
Y_GE65,FRJ1,4.0
Y_GE65,FRJ2,3.3
Y_GE65,FRK1,3.2
Y_GE65,FRK2,3.8
Y_GE65,FRL0,4.4
Y_GE65,FRM0,
Y_GE65,FRY1,3.8
Y_GE65,FRY2,5.1
Y_GE65,FRY3,
Y_GE65,FRY4,4.9
Y_GE65,HR02,2.5
Y_GE65,HR03,4.9
Y_GE65,HR05,5.2
Y_GE65,HR06,2.4
Y_GE65,HU11,9.9
Y_GE65,HU12,5.8
Y_GE65,HU21,5.5
Y_GE65,HU22,4.9
Y_GE65,HU23,4.6
Y_GE65,HU31,5.3
Y_GE65,HU32,6.0
Y_GE65,HU33,6.7
Y_GE65,IE04,14.3
Y_GE65,IE05,13.4
Y_GE65,IE06,12.5
Y_GE65,IS00,21.3
Y_GE65,ITC1,4.9
Y_GE65,ITC2,
Y_GE65,ITC3,4.9
Y_GE65,ITC4,4.8
Y_GE65,ITF1,5.3
Y_GE65,ITF2,4.7
Y_GE65,ITF3,4.4
Y_GE65,ITF4,3.6
Y_GE65,ITF5,4.7
Y_GE65,ITF6,4.6
Y_GE65,ITG1,3.3
Y_GE65,ITG2,4.4
Y_GE65,ITH1,8.9
Y_GE65,ITH2,4.7
Y_GE65,ITH3,5.4
Y_GE65,ITH4,5.4
Y_GE65,ITH5,6.1
Y_GE65,ITI1,6.4
Y_GE65,ITI2,5.1
Y_GE65,ITI3,5.8
Y_GE65,ITI4,5.1
Y_GE65,LT01,14.7
Y_GE65,LT02,10.8
Y_GE65,LU00,3.6
Y_GE65,LV00,13.3
Y_GE65,MT00,7.2
Y_GE65,NL11,8.5
Y_GE65,NL12,11.2
Y_GE65,NL13,10.8
Y_GE65,NL21,9.9
Y_GE65,NL22,12.3
Y_GE65,NL23,12.1
Y_GE65,NL31,11.1
Y_GE65,NL32,12.2
Y_GE65,NL33,9.5
Y_GE65,NL34,8.9
Y_GE65,NL41,10.1
Y_GE65,NL42,9.1
Y_GE65,NO02,13.6
Y_GE65,NO06,14.2
Y_GE65,NO07,9.8
Y_GE65,NO08,15.3
Y_GE65,NO09,12.9
Y_GE65,NO0A,13.0
Y_GE65,PL21,6.0
Y_GE65,PL22,4.8
Y_GE65,PL41,5.8
Y_GE65,PL42,7.5
Y_GE65,PL43,6.8
Y_GE65,PL51,7.4
Y_GE65,PL52,6.3
Y_GE65,PL61,5.6
Y_GE65,PL62,4.2
Y_GE65,PL63,6.3
Y_GE65,PL71,7.7
Y_GE65,PL72,5.9
Y_GE65,PL81,5.8
Y_GE65,PL82,3.4
Y_GE65,PL84,5.0
Y_GE65,PL91,9.2
Y_GE65,PL92,5.5
Y_GE65,PT11,8.2
Y_GE65,PT15,10.8
Y_GE65,PT16,9.1
Y_GE65,PT17,9.2
Y_GE65,PT18,9.1
Y_GE65,PT20,
Y_GE65,PT30,9.6
Y_GE65,RO11,1.6
Y_GE65,RO12,
Y_GE65,RO21,4.4
Y_GE65,RO22,2.1
Y_GE65,RO31,1.4
Y_GE65,RO32,1.7
Y_GE65,RO41,2.8
Y_GE65,RO42,
