STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE24,2020,4.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE24,2021,4.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE241,2020,1.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE241,2021,1.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE242,2020,2.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE242,2021,3.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE25,2020,12.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE25,2021,12.3,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE251,2020,1.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE251,2021,1.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE252,2020,1.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE252,2021,1.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE253,2020,2.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE253,2021,2.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE254,2020,1.3,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE254,2021,1.3,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE255,2020,0.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE255,2021,0.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE256,2020,2.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE256,2021,2.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE257,2020,2.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE257,2021,2.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE258,2020,0.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE258,2021,0.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE3,2020,17.9,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE3,2021,17.9,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE31,2020,1.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE31,2021,1.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE310,2020,1.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE310,2021,1.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32,2020,5.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32,2021,5.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE323,2020,0.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE323,2021,0.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE328,2020,1.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE328,2021,1.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE329,2020,0.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE329,2021,0.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32A,2020,1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32A,2021,1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32B,2020,0.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32B,2021,0.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32C,2020,0.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32C,2021,0.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32D,2020,0.9,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE32D,2021,0.9,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE33,2020,4.3,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE33,2021,4.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE331,2020,0.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE331,2021,0.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE332,2020,0.9,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE332,2021,0.9,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE334,2020,0.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE334,2021,0.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE335,2020,1.3,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE335,2021,1.3,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE336,2020,0.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE336,2021,0.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE34,2020,3.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE34,2021,3.6,p
